"Age","Attribute0","Attribute1","Attribute2","Attribute3","Attribute4","Attribute5","Attribute6","Attribute7","Attribute8","Attribute9","Club","Date_of_Birth","Division","Full_Name","Hairstyle","Height_cm","League","Nation","Positions","Preferred_Foot","Rating","Squad_Number","Weight_kg","_corrupt_record","County_league"
26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Ergotelis","30 December 1993","2","Albert Bruce","Unknown","182","Super League 2","Ghana","Defensive Midfielder Centre","Left","77",NULL,"76",NULL,"GREECE"
28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Doxa Drama","1 October 1991","2","Alexandros Arnarellis","Unknown","180","Super League 2","Greece","Attacking Midfielder Right Left Centre","Both","76",NULL,"73",NULL,"GREECE"
23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Doxa Drama","10 June 1996","2","Georgios Vasiliadis","Unknown","190","Super League 2","Greece","Goalkeeper","Right","70",NULL,"83",NULL,"GREECE"
36,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Doxa Drama","7 February 1984","2","Dimitrios Gaidartzis","Unknown","N/A","Super League 2","Greece","Forward Centre","Right","73",NULL,"N/A",NULL,"GREECE"
30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Doxa Drama","8 May 1990","2","Salvador Pérez Martínez","Unknown","188","Super League 2","Spain","Forward Centre","Right","80",NULL,"77",NULL,"GREECE"
35,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Doxa Drama","19 March 1985","2","Konstantinos Diamantidis","Unknown","N/A","Super League 2","Greece","Midfielder Right","Right","74",NULL,"N/A",NULL,"GREECE"
34,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Doxa Drama","17 November 1985","2","Dimitris Souanis","Unknown","175","Super League 2","Greece","Forward Right Left Centre","Both","73",NULL,"73",NULL,"GREECE"
29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Doxa Drama","17 June 1990","2","Alejandro Cruz Rodríguez","Unknown","175","Super League 2","Spain","Midfielder Left","Left","80",NULL,"70",NULL,"GREECE"
25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Doxa Drama","4 January 1995","2","Igor Engonga Noval","Unknown","185","Super League 2","Equatorial Guinea","Defender Centre","Right","78",NULL,"78",NULL,"GREECE"
20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"PAS Giannina","29 July 1999","2","Vasilios Zogos","Unknown","182","Super League 2","Greece","Defender Centre","Right","67",NULL,"73",NULL,"GREECE"
26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Doxa Drama","5 July 1993","2","Jonathan Casasola","Unknown","175","Super League 2","Argentina","Midfielder Centre","Right","77",NULL,"70",NULL,"GREECE"
33,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Doxa Drama","23 November 1986","2","José María Cases Hernández","Unknown","172","Super League 2","Spain","Attacking Midfielder Right Left Centre","Right","74",NULL,"65",NULL,"GREECE"
28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Doxa Drama","22 October 1991","2","Thomas GARAKLIDIS","Unknown","N/A","Super League 2","Greece","Defender Centre","Right","76",NULL,"N/A",NULL,"GREECE"
21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"PAS Giannina","6 June 1998","2","Lambros Zacharos","Unknown","178","Super League 2","Greece","Midfielder Centre","Right","70",NULL,"74",NULL,"GREECE"
31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Doxa Drama","3 May 1989","2","Kydon Karlopoulos","Unknown","N/A","Super League 2","Greece","Attacking Midfielder Right Left Centre","Both","76",NULL,"N/A",NULL,"GREECE"
34,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Doxa Drama","5 November 1985","2","Jean-Baptiste Arian Akassou","Unknown","175","Super League 2","Ivory Coast","Defender Centre","Both","73",NULL,"70",NULL,"GREECE"
26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Doxa Drama","26 April 1994","2","Nikolaos Ioannidis","Short","188","Super League 2","Greece","Attacking Midfielder Right Left","Right","78",NULL,"80",NULL,"GREECE"
18,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"PAS Giannina","11 July 2001","2","Georgios Gogos","Unknown","190","Super League 2","Greece","Defender Centre","Right","65",NULL,"84",NULL,"GREECE"
19,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"PAS Giannina","20 February 2001","2","Theodoros Venetikidis","Unknown","186","Super League 2","Greece","Goalkeeper","Right","67",NULL,"73",NULL,"GREECE"
23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"PAS Giannina","14 April 1997","2","Giorgos Xydas","Unknown","175","Super League 2","Greece","Forward Right Left Centre","Right","77",NULL,"72",NULL,"GREECE"
25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"PAS Giannina","23 July 1994","2","Alexandros Nikolias","Unknown","172","Super League 2","Greece","Midfielder Centre","Right","76",NULL,"62",NULL,"GREECE"
26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"PAS Giannina","13 November 1993","2","Georgios Pamlidis","Unknown","175","Super League 2","Greece","Attacking Midfielder Centre","Right","77",NULL,"70",NULL,"GREECE"
25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"PAS Giannina","10 February 1995","2","Epaminondas Pantelakis","Short","188","Super League 2","Greece","Defender Centre","Right","76","4","80",NULL,"GREECE"
32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"AE Kifisia","1 December 1987","3","Dimitris Tserkezos","Unknown","176","Football League","Greece","Defender Right","Right","77",NULL,"71",NULL,"GREECE"
28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Proodeftiki","19 May 1992","3","Konstantinos Vasiliou","Short","192","Football League","Greece","Defender Centre","Right","73",NULL,"83",NULL,"GREECE"
28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Proodeftiki","21 August 1991","3","Giorgos Kostas Vlachos","Unknown","188","Football League","Greece","Defensive Midfielder Centre","Right","70",NULL,"76",NULL,"GREECE"
21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"AE Kifisia","1 October 1998","3","Dimitrios Skouloudakis","Unknown","179","Football League","Greece","Attacking Midfielder Right Left Centre","Right","70",NULL,"75",NULL,"GREECE"
23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Niki Volos","13 June 1996","3","Konstantinos Karvounis","Short","175","Football League","Greece","Attacking Midfielder Right Left","Right","67",NULL,"70",NULL,"GREECE"
27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Korinthos FC","2 October 1992","3","Fotis Papanikolaou","Short","177","Football League","Greece","Defender Right","Right","63",NULL,"74",NULL,"GREECE"
39,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Kozani FC","23 July 1980","3","Dimitrios Kottaridis","Unknown","183","Football League","Greece","Defender Left Centre","Left","77",NULL,"79",NULL,"GREECE"
27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Korinthos FC","15 August 1992","3","Stefanos Fournaris","Short","180","Football League","Greece","Defender Left","Left","63",NULL,"74",NULL,"GREECE"
24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Keratsini FC","23 January 1996","3","Spyros Papaspyros","Unknown","185","Football League","Greece","Defender Centre","Right","70",NULL,"75",NULL,"GREECE"
32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Niki Volos","26 March 1988","3","Fábio Ruben Moreira Tavares","Unknown","187","Football League","Portugal","Attacking Midfielder Right Left Centre","Both","73",NULL,"80",NULL,"GREECE"
27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Fokikos","19 January 1993","3","Efthymios Zacharopoulos","Short","173","Football League","Greece","Defensive Midfielder Centre","Right","66",NULL,"68",NULL,"GREECE"
36,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Kavala","16 November 1983","3","Bertrand Robert","Unknown","174","Football League","Reunion","Attacking Midfielder Right Left Centre","Left","82",NULL,"68",NULL,"GREECE"
36,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Kozani FC","18 February 1984","3","Lucian Burdujan","Unknown","181","Football League","Romania","Forward Centre","Left","73",NULL,"75",NULL,"GREECE"
30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Kavala","7 September 1989","3","Angelos Chanti","Unknown","186","Football League","Jordan","Attacking Midfielder Right Left Centre","Left","76",NULL,"77",NULL,"GREECE"
36,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Mandraikos","11 December 1983","3","Nikos Stratakis","Unknown","187","Football League","Greece","Midfielder Centre","Left","73",NULL,"82",NULL,"GREECE"
25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"PAS Giannina","20 July 1994","2","Lefteris Choutesiotis","Short","192","Super League 2","Greece","Goalkeeper","Right","76","33","70",NULL,"GREECE"
32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"PAS Giannina","4 September 1987","2","Stefanos Siontis","Unknown","179","Super League 2","Greece","Defender Right Centre","Right","80",NULL,"73",NULL,"GREECE"
31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"PAS Giannina","24 December 1988","2","Stefanos Athanasiadis","Unknown","185","Super League 2","Greece","Forward Centre","Right","83",NULL,"72",NULL,"GREECE"
32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"PAS Giannina","14 January 1988","2","Michalis Boukouvalas","Unknown","173","Super League 2","Greece","Defender Right","Right","80",NULL,"67",NULL,"GREECE"
27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"PAS Giannina","25 March 1993","2","Serafim Giannikoglou","Unknown","189","Super League 2","Greece","Goalkeeper","Right","78",NULL,"85",NULL,"GREECE"
28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"PAS Giannina","7 November 1991","2","Alexandros Apostolopoulos","Unknown","177","Super League 2","Greece","Defender Right","Right","78",NULL,"80",NULL,"GREECE"
28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"PAS Giannina","5 July 1991","2","Kostas Peristeridis","Unknown","195","Super League 2","Greece","Goalkeeper","Right","78",NULL,"85",NULL,"GREECE"
30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"PAS Giannina","17 August 1989","2","Sandi Križman","Unknown","178","Super League 2","Croatia","Attacking Midfielder Right Left Centre","Right","80",NULL,"76",NULL,"GREECE"
28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"PAS Giannina","17 January 1992","2","Lasha Shergelashvili","Short","172","Super League 2","Georgia","Defender Left","Left","78",NULL,"70",NULL,"GREECE"
35,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"PAS Giannina","29 August 1984","2","Karim Soltani","Unknown","179","Super League 2","Algeria","Attacking Midfielder Right Left","Left","80",NULL,"67",NULL,"GREECE"
34,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"PAS Giannina","12 February 1986","2","Andi Lila","Unknown","184","Super League 2","Albania","Defender Right Left","Right","82",NULL,"75",NULL,"GREECE"
34,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Apollon Smyrnis","26 May 1986","2","Marko Markovski","Unknown","191","Super League 2","Serbia","Forward Centre","Both","82",NULL,"78",NULL,"GREECE"
23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"PAS Giannina","18 December 1996","2","Franck Betra","Unknown","180","Super League 2","France","Forward Centre","Right","73",NULL,"70",NULL,"GREECE"
20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Apollon Smyrnis","3 July 1999","2","Giannis Kontogiannopoulos","Short","175","Super League 2","Greece","Defensive Midfielder Centre","Right","73","62","70",NULL,"GREECE"
22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Apollon Smyrnis","9 May 1998","2","Antonis Ikonomopoulos","Short","179","Super League 2","Greece","Defender Right Centre","Right","73","24","75",NULL,"GREECE"
31,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"PAS Giannina","29 December 1988","2","Apostolos Skondras","Unknown","184","Super League 2","Greece","Defender Centre","Right","78",NULL,"82",NULL,"GREECE"
22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Apollon Smyrnis","2 June 1997","2","Emmanouil Patralis","Unknown","174","Super League 2","Greece","Defensive Midfielder Centre","Right","77",NULL,"67",NULL,"GREECE"
30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"PAS Giannina","1 March 1990","2","Lasha Shergelashvili","Unknown","190","Super League 2","Georgia","Defender Centre","Right","75",NULL,"85",NULL,"GREECE"
25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Apollon Smyrnis","16 May 1995","2","Christos Agrodimos","Unknown","176","Super League 2","Greece","Midfielder Centre","Right","77",NULL,"72",NULL,"GREECE"
28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"PAS Giannina","21 February 1992","2","Edwin Fabry Castro Barros","Unknown","183","Super League 2","Colombia","Defensive Midfielder Centre","Right","78",NULL,"74",NULL,"GREECE"
28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Apollon Smyrnis","19 June 1991","2","Fatjon Andoni","Short","183","Super League 2","Greece","Defensive Midfielder Centre","Right","79","64","77",NULL,"GREECE"
23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Apollon Smyrnis","14 February 1997","2","Lefteris Astras","Unknown","187","Super League 2","Greece","Goalkeeper","Right","75",NULL,"77",NULL,"GREECE"
28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Apollon Smyrnis","21 January 1992","2","Eli Elbaz","Unknown","178","Super League 2","Israel","Forward Centre","Right","78",NULL,"72",NULL,"GREECE"
28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Apollon Smyrnis","9 June 1991","2","Michalis Kyrgias","Unknown","186","Super League 2","Greece","Defender Centre","Right","78",NULL,"77",NULL,"GREECE"
29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Apollon Smyrnis","6 May 1991","2","Charalabos Pavlidis","Unknown","175","Super League 2","Greece","Defensive Midfielder Centre","Right","78",NULL,"67",NULL,"GREECE"
25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Apollon Smyrnis","17 July 1994","2","Diamantis Chouchoumis","Short","183","Super League 2","Greece","Defender Left","Left","78","3","75",NULL,"GREECE"
28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Apollon Smyrnis","12 April 1992","2","Anastasios Lagos","Unknown","181","Super League 2","Greece","Defensive Midfielder Centre","Left","80",NULL,"76",NULL,"GREECE"
25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Apollon Smyrnis","18 August 1994","2","Alexandros Anagnostopoulos","Unknown","185","Super League 2","Greece","Goalkeeper","Right","76",NULL,"75",NULL,"GREECE"
28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Apollon Smyrnis","25 September 1991","2","Athanasios Karagounis","Short","179","Super League 2","Greece","Attacking Midfielder Right Left Centre","Both","77","25","69",NULL,"GREECE"
26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Apollon Smyrnis","16 February 1994","2","Nikos Giannitsanis","Unknown","177","Super League 2","Greece","Forward Centre","Right","78",NULL,"69",NULL,"GREECE"
27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Fokikos","12 December 1992","3","Konstantinos Korkontzelos","Short","186","Football League","Greece","Defender Left","Left","61",NULL,"80",NULL,"GREECE"
24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Mandraikos","6 October 1995","3","Angelos Giazitzoglou","Unknown","178","Football League","Greece","Defender Centre","Right","73",NULL,"74",NULL,"GREECE"
21,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Kavala","16 July 1998","3","Aristidis Kokkoris","Unknown","168","Football League","Greece","Attacking Midfielder Right Left Centre","Right","70",NULL,"63",NULL,"GREECE"
23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Ethnikos Piraeus","1 March 1997","3","Giorgos Makrostergios","Short","188","Football League","Greece","Defender Centre","Right","70",NULL,"75",NULL,"GREECE"
27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Kallithea","26 September 1992","3","Dionysis Belis","Short","178","Football League","Greece","Defensive Midfielder Centre","Right","70",NULL,"73",NULL,"GREECE"
38,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Ethnikos Gazorou","19 March 1982","3","Tasos Dentsas","Unknown","183","Football League","Greece","Defensive Midfielder Centre","Left","73",NULL,"78",NULL,"GREECE"
32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Mandraikos","17 November 1987","3","Nikolaos Tzimogiannis","Unknown","186","Football League","Greece","Defender Centre","Left","73",NULL,"83",NULL,"GREECE"
43,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Ethnikos Gazorou","19 April 1977","3","Sotiris Konstantinidis","Unknown","178","Football League","Greece","Midfielder Left","Left","73",NULL,"76",NULL,"GREECE"
35,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Ilisiakos","1 November 1984","3","Christos Pipinis","Unknown","184","Football League","Greece","Defender Left Centre","Left","73",NULL,"77",NULL,"GREECE"
35,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Ilisiakos","26 October 1984","3","Giorgos Lambropoulos","Unknown","188","Football League","Greece","Defensive Midfielder Centre","Left","73",NULL,"75",NULL,"GREECE"
24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Kallithea","29 September 1995","3","Konstantinos Vasiliou","Short","174","Football League","Greece","Defender Left Centre","Right","72",NULL,"70",NULL,"GREECE"
23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Kallithea","28 February 1997","3","Panagiotis Grosios","Short","180","Football League","Greece","Midfielder Centre","Left","70",NULL,"72",NULL,"GREECE"
23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Kallithea","29 May 1997","3","Konstantinos Kostas","Unknown","178","Football League","Greece","Midfielder Centre","Right","70",NULL,"74",NULL,"GREECE"
24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Kallithea","1 August 1995","3","Nikos Milios","Unknown","181","Football League","Greece","Attacking Midfielder Right Left","Right","73",NULL,"71",NULL,"GREECE"
23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Kallithea","18 May 1997","3","Ilias Evangelou","Unknown","183","Football League","Greece","Defender Centre","Left","73",NULL,"75",NULL,"GREECE"
33,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Apollon Smyrnis","20 May 1987","2","Giannis Stathis","Unknown","174","Super League 2","Greece","Defender Right","Right","80",NULL,"70",NULL,"GREECE"
34,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Apollon Smyrnis","22 January 1986","2","David López Nadales","Unknown","178","Super League 2","Spain","Defender Left Centre","Left","80",NULL,"72",NULL,"GREECE"
34,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Apollon Smyrnis","1 October 1985","2","Antonio Salas Quinta","Unknown","176","Super League 2","Spain","Attacking Midfielder Right Left Centre","Left","78",NULL,"72",NULL,"GREECE"
32,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Apollon Smyrnis","25 June 1987","2","Djilli Arsène Dit Patrick","Unknown","185","Super League 2","Ivory Coast","Forward Right Left Centre","Right","82",NULL,"75",NULL,"GREECE"
36,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Apollon Smyrnis","3 August 1983","2","Huanderson Junio Da Silva Santos","Unknown","189","Super League 2","Brazil","Goalkeeper","Right","80",NULL,"83",NULL,"GREECE"
28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Apollon Smyrnis","3 September 1991","2","Pavlos Kyriakidis","Short","182","Super League 2","Greece","Defender Right","Right","78","19","70",NULL,"GREECE"
36,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"PAS Giannina","27 January 1984","2","Miguel Sebastián Garcia","Short","174","Super League 2","Argentina","Midfielder Centre","Left","75","26","73",NULL,"GREECE"
29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Apollon Smyrnis","16 January 1991","2","Joel Gustavo Acosta","Unknown","172","Super League 2","Argentina","Midfielder Right Centre","Right","80","22","75",NULL,"GREECE"
36,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Apollon Smyrnis","23 May 1984","2","Giorgos Zisopoulos","Unknown","182","Super League 2","Greece","Defender Centre","Left","79",NULL,"78",NULL,"GREECE"
34,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"AE Karaiskakis","1 July 1985","2","José Antonio Rodríguez Mùnera","Unknown","180","Super League 2","Spain","Defender Right Centre","Right","74",NULL,"78",NULL,"GREECE"
26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Apollon Smyrnis","22 July 1993","2","Israel Emanuel Coll","Short","175","Super League 2","Argentina","Attacking Midfielder Right Left Centre","Left","77","77","70",NULL,"GREECE"
29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"AE Karaiskakis","2 August 1990","2","Moussa Bandeh Kandeh","Unknown","189","Super League 2","Spain","Defender Left Centre","Left","78",NULL,"78",NULL,"GREECE"
27,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Apollon Smyrnis","24 February 1993","2","Thomás Jaguaribe Bedinelli","Unknown","179","Super League 2","Brazil","Midfielder Centre","Right","80",NULL,"72",NULL,"GREECE"
29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"AE Karaiskakis","19 April 1991","2","Nikolaos Pantidos","Unknown","184","Super League 2","Greece","Defender Centre","Right","77",NULL,"80",NULL,"GREECE"
25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Apollon Smyrnis","20 December 1994","2","Javier Iritier","Unknown","175","Super League 2","Argentina","Attacking Midfielder Right Left Centre","Right","76","28","70",NULL,"GREECE"
26,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"AE Karaiskakis","21 April 1994","2","Guillermo Bárcena","Unknown","181","Super League 2","Cuba","Forward Right Left Centre","Right","70",NULL,"58",NULL,"GREECE"
22,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Apollon Smyrnis","29 April 1998","2","Giannis Bastianos","Short","180","Super League 2","Greece","Forward Centre","Right","74","90","70",NULL,"GREECE"
30,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Apollon Smyrnis","21 July 1989","2","Kofi Yeboah Schulz","Unknown","190","Super League 2","Ghana","Defender Left","Left","79",NULL,"82",NULL,"GREECE"
25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Kallithea","21 October 1994","3","Panagiotis Plavoukos","Unknown","171","Football League","Greece","Attacking Midfielder Centre","Right","73",NULL,"70",NULL,"GREECE"
25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Kallithea","26 August 1994","3","Panagiotis Ladas","Short","190","Football League","Greece","Goalkeeper","Right","70",NULL,"87",NULL,"GREECE"
29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Kallithea","19 February 1991","3","Manolis Nikolakakis","Unknown","179","Football League","Greece","Defender Right Left","Right","77",NULL,"68",NULL,"GREECE"
24,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Kavala","2 March 1996","3","Savvas Toumanidis","Short","183","Football League","Greece","Defender Centre","Right","64",NULL,"76",NULL,"GREECE"
25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Kavala","19 December 1994","3","Georgios Gemistos","Short","180","Football League","Greece","Midfielder Centre","Right","63",NULL,"75",NULL,"GREECE"
29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Kallithea","21 April 1991","3","Tryfontsonis","Unknown","180","Football League","Greece","Attacking Midfielder Right Left","Both","70",NULL,"80",NULL,"GREECE"
23,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Kavala","22 September 1996","3","Manolis Demenikos","Unknown","187","Football League","Greece","Goalkeeper","Right","70",NULL,"80",NULL,"GREECE"
29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Kallithea","29 April 1991","3","Stelios Vasiliou","Unknown","185","Football League","Greece","Attacking Midfielder Right Left","Right","77",NULL,"82",NULL,"GREECE"
28,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Kavala","8 February 1992","3","Konstantinos Stavros Markopoulos","Unknown","175","Football League","Greece","Forward Right Left Centre","Right","73",NULL,"74",NULL,"GREECE"
25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Kavala","28 January 1995","3","Vassilis Papadopoulos","Unknown","176","Football League","Greece","Forward Right Left Centre","Right","73",NULL,"70",NULL,"GREECE"
25,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Kavala","4 November 1994","3","Anastasios Zarkadas","Unknown","179","Football League","Greece","Defender Centre","Right","69",NULL,"75",NULL,"GREECE"
20,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Kavala","4 March 2000","3","Okan Suleiman","Short","175","Football League","Greece","Attacking Midfielder Right Left","Right","70","10","70",NULL,"GREECE"
29,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,"Kavala","13 March 1991","3","Dimitris Toskas","Unknown","188","Football League","Greece","Defender Centre","Right","76",NULL,"80",NULL,"GREECE"
